S1_Joy,S2_Joy
2.107889,2.079071
2.145564,1.768389
2.43661,1.924359
2.449205,1.984677
2.419132,1.916652
2.369333,1.739467
2.426498,1.246131
2.464667,0.9084203000000002
2.356836,1.008572
2.385425,0.6693201999999999
2.43909,0.6540446
2.479511,0.4149954000000001
2.42258,0.5478463000000001
2.386949,0.7903809
2.233282,0.8214499
2.2249060000000003,1.249166
2.289861,1.327619
2.235245,1.566327
2.31246,1.98037
2.337078,1.958887
2.247192,2.116404
2.061115,1.904188
2.2021,2.013572
2.184894,1.891468
2.2260310000000003,1.643849
2.314786,1.528291
2.297682,1.475899
2.252581,1.0560889999999998
2.108682,1.347494
2.212732,1.537776
2.158567,1.44448
2.154023,1.1252799999999998
2.182173,0.6457434
2.154968,0.7010331999999999
2.107134,0.8087681999999999
2.097501,0.9552659
2.161937,1.08182
2.074605,0.7308944
2.044802,0.8805076999999999
2.042416,1.07031
1.968033,1.1627
1.978639,1.523486
1.79483,1.511477
1.6784259999999998,2.32795
1.639431,2.169762
1.495716,2.413256
1.242118,2.779644
0.7813637,2.432295
-0.1834184,2.109399
-0.1817634,2.497052
-0.2008323,2.538035
0.02566339,2.061864
0.3339756,1.60439
0.1929844,1.164265
0.6068148,0.9729478
0.4455154000000001,0.9020806999999998
0.7768401,0.9566404
1.045778,0.9463606
1.087004,1.452118
0.8738444,2.069383
1.065398,2.602503
0.9886855,2.626766
1.044803,2.711139
1.142366,2.626651
1.1472,2.540482
1.163813,2.539188
1.262083,2.3991
1.369366,2.348456
1.318168,2.47577
1.368641,2.323172
1.382291,1.834587
1.325501,1.334447
1.343823,1.347082
1.336854,0.9960164
1.317515,0.9763388
1.306134,1.721081
1.3241379999999998,1.949662
1.359194,1.867072
1.3433389999999998,1.665199
1.2887110000000002,1.557749
1.345452,1.7824830000000005
1.257369,1.838927
1.192248,1.982281
1.16297,2.131938
1.370334,2.412027
1.239915,2.470558
1.205107,2.525973
1.305133,2.69267
1.6539549999999998,2.615209
1.94687,2.556302
1.616639,2.898871
1.762401,2.791439
1.548741,2.885823
1.297128,3.122346
1.400447,3.273845
1.2197639999999998,3.386175
1.028509,3.352694
0.9753223,3.401696
0.9603637,3.348381
0.8554328999999999,3.435674
1.102671,3.415143
1.021763,3.479676
1.126767,3.535676
1.231781,3.493293
1.212983,3.513318
1.088382,3.651649
0.7829822,3.753654
1.067125,3.747517
1.218284,3.4934480000000003
1.553624,3.481482
1.276579,3.665514
1.568829,3.445841
1.629897,3.637636
1.718433,3.87714
1.728854,3.696137
1.906582,3.768408
2.132832,3.637288
2.321789,3.605986
2.119344,3.699379
2.125253,3.695437
2.265186,3.616613
2.263679,3.609948
